radiosonde_id,year,nobs,lat,lon,year_first,year_last
AGM00060620,1998,630,27.883,-0.283,1973,2008
AGM00060620,1999,532,27.883,-0.283,1973,2008
AGM00060620,2000,588,27.883,-0.283,1973,2008
AGM00060620,2001,626,27.883,-0.283,1973,2008
AGM00060620,2002,603,27.883,-0.283,1973,2008
AGM00060620,2003,602,27.883,-0.283,1973,2008
AGM00060620,2004,589,27.883,-0.283,1973,2008
AGM00060620,2005,638,27.883,-0.283,1973,2008
AGM00060620,2006,618,27.883,-0.283,1973,2008
AGM00060620,2007,651,27.883,-0.283,1973,2008
AGM00060620,2008,303,27.883,-0.283,1973,2008
AGM00060630,1985,1159,27.2333,2.5,1964,2023
AGM00060630,1986,1224,27.2333,2.5,1964,2023
AGM00060630,1987,1262,27.2333,2.5,1964,2023
AGM00060630,1988,1322,27.2333,2.5,1964,2023
AGM00060630,1989,1095,27.2333,2.5,1964,2023
AGM00060630,1990,959,27.2333,2.5,1964,2023
AGM00060630,1991,901,27.2333,2.5,1964,2023
AGM00060630,1992,1268,27.2333,2.5,1964,2023
AGM00060630,1993,1311,27.2333,2.5,1964,2023
AGM00060630,1994,1269,27.2333,2.5,1964,2023
AGM00060630,1995,1288,27.2333,2.5,1964,2023
AGM00060630,1996,1223,27.2333,2.5,1964,2023
AGM00060630,1997,1240,27.2333,2.5,1964,2023
AGM00060630,1998,1331,27.2333,2.5,1964,2023
AGM00060630,1999,844,27.2333,2.5,1964,2023
AGM00060630,2000,1178,27.2333,2.5,1964,2023
AGM00060630,2001,1329,27.2333,2.5,1964,2023
AGM00060630,2002,1303,27.2333,2.5,1964,2023
AGM00060630,2003,1307,27.2333,2.5,1964,2023
AGM00060630,2004,1355,27.2333,2.5,1964,2023
AGM00060630,2005,1377,27.2333,2.5,1964,2023
AGM00060630,2006,1412,27.2333,2.5,1964,2023
AGM00060630,2007,1431,27.2333,2.5,1964,2023
AGM00060630,2008,876,27.2333,2.5,1964,2023
AGM00060630,2009,345,27.2333,2.5,1964,2023
AGM00060630,2010,350,27.2333,2.5,1964,2023
AGM00060630,2011,422,27.2333,2.5,1964,2023
AGM00060630,2012,378,27.2333,2.5,1964,2023
AGM00060630,2013,361,27.2333,2.5,1964,2023
AGM00060630,2014,357,27.2333,2.5,1964,2023
AGM00060630,2015,365,27.2333,2.5,1964,2023
AGM00060630,2016,352,27.2333,2.5,1964,2023
AGM00060630,2017,362,27.2333,2.5,1964,2023
AGM00060630,2018,363,27.2333,2.5,1964,2023
AGM00060630,2019,366,27.2333,2.5,1964,2023
AGM00060630,2020,231,27.2333,2.5,1964,2023
AGM00060640,1986,110,26.5,8.417,1973,1986
AGM00060656,1985,281,27.7,-8.1667,1973,2023
AGM00060656,1998,257,27.7,-8.1667,1973,2023
AGM00060656,1999,228,27.7,-8.1667,1973,2023
AGM00060656,2000,291,27.7,-8.1667,1973,2023
AGM00060656,2001,293,27.7,-8.1667,1973,2023
AGM00060656,2002,341,27.7,-8.1667,1973,2023
AGM00060656,2003,329,27.7,-8.1667,1973,2023
AGM00060656,2004,349,27.7,-8.1667,1973,2023
AGM00060656,2005,350,27.7,-8.1667,1973,2023
AGM00060656,2006,356,27.7,-8.1667,1973,2023
AGM00060656,2007,360,27.7,-8.1667,1973,2023
AGM00060656,2008,314,27.7,-8.1667,1973,2023
AGM00060656,2009,328,27.7,-8.1667,1973,2023
AGM00060656,2010,358,27.7,-8.1667,1973,2023
AGM00060656,2011,410,27.7,-8.1667,1973,2023
AGM00060656,2012,383,27.7,-8.1667,1973,2023
AGM00060656,2013,359,27.7,-8.1667,1973,2023
AGM00060656,2014,355,27.7,-8.1667,1973,2023
AGM00060656,2015,355,27.7,-8.1667,1973,2023
AGM00060656,2016,344,27.7,-8.1667,1973,2023
AGM00060656,2017,344,27.7,-8.1667,1973,2023
AGM00060656,2018,354,27.7,-8.1667,1973,2023
AGM00060656,2019,360,27.7,-8.1667,1973,2023
AGM00060656,2020,222,27.7,-8.1667,1973,2023
AGM00060680,1985,914,22.8,5.4333,1934,2023
AGM00060680,1986,1225,22.8,5.4333,1934,2023
AGM00060680,1987,1306,22.8,5.4333,1934,2023
AGM00060680,1988,1291,22.8,5.4333,1934,2023
AGM00060680,1989,1104,22.8,5.4333,1934,2023
