radiosonde_id,lat,lon,year_first,year_last,iso3
AYM00089592,-66.5519,93.0147,1957,2023,
AYM00089606,-78.45,106.867,1958,1991,
AYM00089611,-66.2825,110.5231,1957,2023,
AYM00089625,-75.1017,123.4119,2006,2023,
AYM00089642,-66.6631,140.0011,1951,2023,
AYM00089657,-69.5,159.4,1983,1991,
AYM00089662,-74.6958,164.0922,1987,2023,
AYM00089664,-77.85,166.6667,1956,2023,
BBM00078954,13.0667,-59.4833,1965,2023,
BCM00068032,-19.9833,23.4167,1957,2012,BWA
BCM00068040,-21.417,25.6,1997,2006,BWA
BCM00068054,-21.217,27.5,1988,1992,BWA
BCM00068240,-24.55,25.9167,1985,2011,BWA
BCM00068328,-26.05,22.45,1989,2004,BWA
BDM00078016,32.3669,-64.6772,1946,2023,BMU
BEM00006400,51.083,2.65,1999,2002,BEL
BEM00006447,50.7969,4.3581,1949,2021,BEL
BEM00006458,50.7456,4.7633,2005,2023,BEL
BEM00006476,50.033,5.4,1964,2006,BEL
BEM00006496,50.4822,6.1814,1999,2021,BEL
BFM00078073,25.05,-77.4667,1977,2020,BHS
BGM00041859,25.7333,89.2333,1929,2023,BGD
BGM00041883,24.85,89.3667,1949,2023,BGD
BGM00041891,24.9,91.8833,1953,2023,BGD
BGM00041907,24.1333,89.05,1976,2023,BGD
BGM00041923,23.7667,90.3833,1938,2023,BGD
BGM00041936,23.1833,89.1667,1982,2023,BGD
BGM00041943,23.0333,91.4167,1982,2023,BGD
BGM00041950,22.75,90.3667,1977,2023,BGD
BGM00041977,22.35,91.8167,1928,2023,BGD
BGM00041992,21.4333,91.9333,1951,2023,
BHM00078583,17.5333,-88.3,1980,2023,BLZ
BLM00085041,-11.0333,-68.7833,2002,2003,BOL
BLM00085041,-11.0333,-68.7833,2002,2003,BOL
BLM00085154,-14.8167,-64.9167,1944,2003,BOL
BLM00085154,-14.8167,-64.9167,1944,2003,BOL
BLM00085201,-16.517,-68.183,1945,2003,BOL
BLM00085201,-16.517,-68.183,1945,2003,BOL
BLM00085245,-17.8,-63.1833,1944,2004,BOL
BLM00085245,-17.8,-63.1833,1944,2004,BOL
BLM00085268,-18.3167,-59.7667,2002,2003,BOL
BLM00085268,-18.3167,-59.7667,2002,2003,BOL
BMM00048008,25.3667,97.4,1973,1998,MMR
BMM00048008,25.3667,97.4,1973,1998,MMR
BMM00048042,21.9833,96.1,1928,2022,MMR
BMM00048042,21.9833,96.1,1928,2022,MMR
BMM00048053,20.883,95.9,1962,1998,MMR
BMM00048053,20.883,95.9,1962,1998,MMR
BMM00048080,18.467,94.35,1933,1993,MMR
BMM00048080,18.467,94.35,1933,1993,MMR
BMM00048094,16.767,94.767,1973,2002,MMR
BMM00048094,16.767,94.767,1973,2002,MMR
BMM00048097,16.7667,96.1667,1928,2022,MMR
BMM00048097,16.7667,96.1667,1928,2022,MMR
BMM00048108,14.1,98.2167,1935,2002,MMR
BMM00048108,14.1,98.2167,1935,2002,MMR
BMM00048110,12.433,98.6,1941,1998,
BMM00048112,9.967,98.583,1932,1993,
BNM00065306,11.1333,2.9333,1940,2019,BEN
BNM00065330,9.35,2.6167,1973,2022,BEN
BNM00065344,6.35,2.3833,1940,2023,BEN
BOM00026850,53.9286,27.6353,1939,2023,BLR
BOM00033008,52.1167,23.6858,1951,2022,BLR
BOM00033041,52.4019,30.9631,1970,2022,BLR
BPM00091517,-9.4167,159.9667,1959,2011,
BPM00091541,-10.7,165.8,1992,1993,
BRM00081729,-3.2944,-60.6283,2014,2015,BRA
BRM00082022,2.8333,-60.7,1977,2023,BRA
BRM00082026,2.2239,-55.9472,2006,2023,BRA
BRM00082099,0.05,-51.0667,2005,2023,BRA
