datetime,tmp,tmp_3h,tmp_6h,slp,slp_3h,slp_6h,QUALITY_CONTROL
2010-03-26 00:00:00,6.21,6.243333333333332,6.3100000000000005,1011.3100000000001,1011.4099999999999,1011.3528571428571,V020
2010-03-26 12:00:00,3.0100000000000002,2.3433333333333324,1.8671428571428572,,,,V020
2010-03-27 00:00:00,7.209999999999999,6.709999999999998,6.424285714285714,1011.01,1011.11,1011.0528571428571,V020
2010-03-27 12:00:00,1.01,1.3433333333333322,1.552857142857143,,,,V020
2010-03-28 00:00:00,3.6100000000000003,4.576666666666665,4.11,1009.61,1009.61,1009.6814285714285,V020
2010-03-28 12:00:00,1.31,1.5433333333333323,1.7100000000000002,1006.51,1006.61,,V020
2010-03-29 00:00:00,5.41,4.909999999999999,4.967142857142856,1004.3100000000001,1004.3433333333334,,V020
2010-03-29 12:00:00,1.51,1.5099999999999991,1.51,1004.9100000000001,,,V020
2010-03-30 00:00:00,4.01,3.8433333333333324,3.624285714285714,1004.21,1004.21,1004.2242857142857,V020
2010-03-30 12:00:00,2.0100000000000002,2.01,2.0100000000000002,,,,V020
2010-03-31 00:00:00,4.8100000000000005,4.81,4.367142857142857,1006.3100000000001,1006.31,,V020
2010-03-31 12:00:00,1.01,0.6766666666666662,0.9957142857142858,,,,V020
2010-04-01 00:00:00,0.71,1.0766666666666662,1.1385714285714286,1010.51,1010.3766666666667,1010.3528571428571,V020
2010-04-01 12:00:00,3.1100000000000003,4.609999999999999,4.6814285714285715,1008.9100000000001,1008.9433333333333,1008.9671428571428,V020
2010-04-02 00:00:00,5.41,5.609999999999999,5.195714285714287,1007.01,1006.9766666666666,,V020
2010-04-02 12:00:00,6.609999999999999,6.843333333333333,7.0528571428571425,1006.71,1007.0433333333332,1007.1814285714287,V020
2010-04-03 00:00:00,3.71,3.143333333333333,3.1671428571428573,1013.51,1013.4433333333333,1013.267142857143,V020
2010-04-03 12:00:00,5.3100000000000005,6.276666666666666,5.910000000000001,1016.3100000000001,1016.2766666666666,,V020
2010-04-04 00:00:00,0.71,0.7433333333333327,1.2385714285714289,1021.21,1021.21,1021.21,V020
2010-04-04 12:00:00,2.41,2.809999999999999,3.2671428571428573,1023.21,1023.1766666666666,,V020
2010-04-05 00:00:00,0.11000000000000001,0.5099999999999995,0.8957142857142858,1023.8100000000001,1023.7433333333333,1023.7671428571429,V020
2010-04-05 12:00:00,4.8100000000000005,4.609999999999999,3.724285714285714,1023.8100000000001,,,V020
2010-04-06 00:00:00,1.01,1.0433333333333328,1.3242857142857143,1025.71,1025.81,1025.8528571428571,V020
2010-04-06 12:00:00,2.0100000000000002,2.4433333333333334,2.6242857142857146,,,,V020
2010-04-07 00:00:00,0.61,0.8099999999999993,0.8242857142857142,,,,V020
2010-04-07 12:00:00,4.01,3.676666666666666,3.295714285714286,,,,V020
2010-04-08 00:00:00,0.21000000000000002,0.20999999999999944,0.4671428571428571,1019.61,1019.6766666666666,1019.71,V020
2010-04-08 12:00:00,5.01,4.343333333333333,3.724285714285714,,,,V020
2010-04-09 00:00:00,1.7100000000000002,1.7433333333333332,1.61,1018.21,1018.2766666666666,1018.3242857142858,V020
2010-04-09 12:00:00,7.01,6.009999999999999,5.438571428571429,,,,V020
2010-04-10 00:00:00,0.41,0.4433333333333331,0.8099999999999999,1028.31,1028.243333333333,1028.152857142857,V020
2010-04-10 12:00:00,6.01,5.676666666666666,4.8100000000000005,,,,V020
2010-04-11 00:00:00,1.61,1.1766666666666665,1.2671428571428571,1035.21,1035.0766666666666,1035.0814285714284,V020
2010-04-11 12:00:00,5.61,5.81,5.152857142857143,1029.21,1029.1433333333332,,V020
2010-04-12 00:00:00,4.11,4.41,4.481428571428571,1020.71,1020.7433333333333,1020.5814285714285,V020
2010-04-12 12:00:00,10.01,9.61,9.424285714285714,,,,V020
2010-04-13 00:00:00,2.81,3.2433333333333336,2.8242857142857143,1009.4100000000001,1009.0766666666665,1009.3814285714286,V020
2010-04-13 12:00:00,1.01,1.3100000000000003,1.1385714285714286,,,,V020
2010-04-14 00:00:00,0.21000000000000002,0.37666666666666676,0.48142857142857143,1017.51,,,V020
2010-04-14 12:00:00,4.01,4.343333333333334,4.152857142857142,,,,V020
2010-04-15 00:00:00,1.51,2.0433333333333334,2.238571428571429,1005.01,1004.91,1004.6814285714287,V020
2010-04-15 12:00:00,7.609999999999999,7.743333333333332,7.167142857142856,999.4100000000001,,,V020
2010-04-16 00:00:00,1.1099999999999999,0.7766666666666667,0.6385714285714286,997.51,997.61,997.5814285714285,V020
2010-04-16 12:00:00,2.0100000000000002,2.1433333333333335,1.9242857142857144,,,,V020
2010-04-17 00:00:00,0.01,0.17666666666666683,0.45285714285714285,992.71,992.8433333333332,993.0671428571428,V020
2010-04-17 12:00:00,5.01,4.276666666666666,4.195714285714286,,,,V020
2010-04-18 00:00:00,1.9100000000000001,2.0100000000000002,2.295714285714286,992.11,992.1766666666666,992.1528571428571,V020
2010-04-18 12:00:00,2.81,2.81,2.1957142857142857,992.4100000000001,992.3766666666667,,V020
2010-04-19 00:00:00,5.01,4.8100000000000005,4.281428571428571,996.61,996.5433333333334,996.4814285714284,V020
2010-04-19 12:00:00,1.41,1.8099999999999998,1.0671428571428572,1002.21,,,V020
2010-04-20 00:00:00,0.21000000000000002,0.5433333333333333,0.6814285714285714,1004.9100000000001,1005.0766666666667,1005.11,V020
2010-04-20 12:00:00,0.01,0.3433333333333333,0.41000000000000003,,,,V020
2010-04-21 00:00:00,3.31,2.7433333333333336,2.8099999999999996,1012.01,1011.9433333333333,1011.8814285714286,V020
2010-04-21 12:00:00,4.01,4.01,3.367142857142857,,,,V020
2010-04-22 00:00:00,2.21,2.443333333333333,2.3242857142857143,1013.4100000000001,1013.3433333333332,1013.2528571428571,V020
2010-04-22 12:00:00,5.01,4.01,3.152857142857143,,,,V020
